0,1,2,3,4
EMC2_HUMAN,9694,EMC8_HUMAN,10328,0.89
TAU_HUMAN,4137,TAU_HUMAN,4137,0.9
TCAM2_HUMAN,100302736,TRAF6_HUMAN,7189,0.86
VWF_HUMAN,7450,VWF_HUMAN,7450,0.9
ATN1_HUMAN,1822,WWP2_HUMAN,11060,0.88
EGFR_HUMAN,1956,CRK_HUMAN,1398,0.9
RNPS1_HUMAN,10921,RENT2_HUMAN,26019,0.87
H2A1B_HUMAN,3012,H4_HUMAN,8361,0.9
RPGR_HUMAN,6103,PDE6D_HUMAN,5147,0.9
TPRKB_HUMAN,51002,PRPK_HUMAN,112858,0.97
THOC2_HUMAN,57187,THOC1_HUMAN,9984,0.87
AKAP9_HUMAN,10142,KC1D_HUMAN,1453,0.87
H4_HUMAN,554313,TBL1X_HUMAN,6907,0.88
FKB1A_HUMAN,2280,FKB1A_HUMAN,2280,0.96
TRAF6_HUMAN,7189,MAVS_HUMAN,57506,0.9
FADD_HUMAN,8772,CASPA_HUMAN,843,0.9
SUMO1_HUMAN,7341,JUN_HUMAN,3725,0.93
WDR5_HUMAN,11091,H31_HUMAN,8355,0.9
PRGC1_HUMAN,10891,PPARG_HUMAN,5468,0.9
PLXB1_HUMAN,5364,RND2_HUMAN,8153,0.87
TROAP_HUMAN,10024,MARE1_HUMAN,22919,0.88
PIN1_HUMAN,5300,MPIP3_HUMAN,995,0.89
RASM_HUMAN,22808,GNDS_HUMAN,5900,0.87
BAD_HUMAN,572,1433B_HUMAN,7529,0.88
PCM1_HUMAN,5108,CCD14_HUMAN,64770,0.87
SNX9_HUMAN,51429,SNX9_HUMAN,51429,0.9
SMAD3_HUMAN,4088,SMAD3_HUMAN,4088,0.9
CRYAB_HUMAN,1410,CISY_HUMAN,1431,0.86
RAC1_HUMAN,5879,NCF2_HUMAN,4688,0.9
NXF1_HUMAN,10482,THOC4_HUMAN,10189,0.86
LSM3_HUMAN,27258,LSM2_HUMAN,57819,0.99
STAT1_HUMAN,6772,E2AK2_HUMAN,5610,0.88
ZO1_HUMAN,7082,AFAD_HUMAN,4301,0.88
H31_HUMAN,8352,PHF20_HUMAN,51230,0.88
COM1_HUMAN,5932,MRE11_HUMAN,4361,0.88
GRB2_HUMAN,2885,"FA59A_HUMAN,GARE1_HUMAN",64762,0.87
RNF11_HUMAN,26994,WWP1_HUMAN,11059,0.86
CSN6_HUMAN,10980,FBX44_HUMAN,93611,0.86
P53_HUMAN,7157,ESR1_HUMAN,2099,0.89
ING2_HUMAN,3622,SMUF1_HUMAN,57154,0.88
HNRPC_HUMAN,3183,HNRPD_HUMAN,3184,0.86
PDC6I_HUMAN,10015,PDC6I_HUMAN,10015,0.87
HNF1A_HUMAN,6927,PHS_HUMAN,5092,0.9
PTN6_HUMAN,5777,IL4RA_HUMAN,3566,0.89
1433G_HUMAN,7532,PARD3_HUMAN,56288,0.86
GPN1_HUMAN,11321,GPN3_HUMAN,51184,0.97
APC1_HUMAN,64682,APC4_HUMAN,29945,0.9
TES_HUMAN,26136,ACL7A_HUMAN,10881,0.9
RPB1_HUMAN,5430,PIN1_HUMAN,5300,0.91
GGA1_HUMAN,26088,SORL_HUMAN,6653,0.9
MCM2_HUMAN,4171,H33_HUMAN,3020,0.87
EP300_HUMAN,2033,BRCA1_HUMAN,672,0.9
THA_HUMAN,7067,NCOR2_HUMAN,9612,0.89
PIN1_HUMAN,5300,CSK21_HUMAN,1457,0.89
SH21A_HUMAN,4068,CD244_HUMAN,51744,0.97
SFPQ_HUMAN,6421,SNRPA_HUMAN,6626,0.88
ADH7_HUMAN,131,ADH7_HUMAN,131,0.88
H31T_HUMAN,8290,H4_HUMAN,554313,0.96
PRKX_HUMAN,5613,KAP0_HUMAN,5573,0.88
H4_HUMAN,8365,MCM5_HUMAN,4174,0.93
LCP2_HUMAN,3937,ITK_HUMAN,3702,0.97
SEPT7_HUMAN,989,SEP11_HUMAN,55752,0.94
UB2L6_HUMAN,9246,TRI25_HUMAN,7706,0.89
HS90A_HUMAN,3320,M3K14_HUMAN,9020,0.88
COPB_HUMAN,1315,ARF1_HUMAN,375,0.88
ANC2_HUMAN,29882,UBE2C_HUMAN,11065,0.89
MIS12_HUMAN,79003,CENPC_HUMAN,1060,0.87
BMR1A_HUMAN,657,GDF5_HUMAN,8200,0.89
CCNT1_HUMAN,904,PML_HUMAN,5371,0.89
CBP_HUMAN,1387,H4_HUMAN,8367,0.9
M3K2_HUMAN,10746,MP2K7_HUMAN,5609,0.86
UIMC1_HUMAN,51720,BRE_HUMAN,9577,0.88
BCR_HUMAN,613,ERCC3_HUMAN,2071,0.9
NGLY1_HUMAN,55768,RD23A_HUMAN,5886,0.93
CLUS_HUMAN,1191,"PRIO_HUMAN,APRIO_HUMAN,PRIO_HUMAN",5621,0.92
HLAF_HUMAN,3134,KI3S1_HUMAN,3813,0.87
PSB1_HUMAN,5689,PSB5_HUMAN,5693,0.92
ETFA_HUMAN,2108,ETFB_HUMAN,2109,0.95
VPS16_HUMAN,64601,VPS8_HUMAN,23355,0.88
WASF2_HUMAN,10163,ARP3_HUMAN,10096,0.86
FBLN2_HUMAN,2199,NID1_HUMAN,4811,0.93
HIPK2_HUMAN,28996,P53_HUMAN,7157,0.9
H2AY_HUMAN,9555,PARP1_HUMAN,142,0.89
PICK1_HUMAN,9463,KPCA_HUMAN,5578,0.97
CALM_HUMAN,808,DAPK1_HUMAN,1612,0.89
RING2_HUMAN,6045,BMI1_HUMAN,648,0.97
ESR2_HUMAN,2100,NCOA2_HUMAN,10499,0.86
MO2R1_HUMAN,131450,OX2G_HUMAN,4345,0.95
YAP1_HUMAN,10413,1433T_HUMAN,10971,0.9
CBX4_HUMAN,8535,CTBP1_HUMAN,1487,0.9
CTNB1_HUMAN,1499,PSN1_HUMAN,5663,0.97
MIPT3_HUMAN,26146,HSP7C_HUMAN,3312,0.87
SH3R1_HUMAN,57630,AKT2_HUMAN,208,0.96
PDIA1_HUMAN,5034,UBQL1_HUMAN,29979,0.9
PLCB1_HUMAN,23236,NHRF1_HUMAN,9368,0.93
RPGF6_HUMAN,51735,PTN13_HUMAN,5783,0.9
MED9_HUMAN,55090,MED31_HUMAN,51003,0.86
PPP5_HUMAN,5536,STIP1_HUMAN,10963,0.94
GRB7_HUMAN,2886,FAK1_HUMAN,5747,0.96
IN80B_HUMAN,83444,IN80E_HUMAN,283899,0.87
JAG2_HUMAN,3714,NOTC2_HUMAN,4853,0.88
AMFR2_HUMAN,267,AMFR2_HUMAN,267,0.9
EP300_HUMAN,2033,H4_HUMAN,8294,0.86
SYTL4_HUMAN,94121,RAB8A_HUMAN,4218,0.96
1433S_HUMAN,2810,BRAF_HUMAN,673,0.88
ATRX_HUMAN,546,H33_HUMAN,3020,0.88
SH2B1_HUMAN,25970,INSR_HUMAN,3643,0.9
MYPN_HUMAN,84665,NEBU_HUMAN,4703,0.88
MED23_HUMAN,9439,ELF3_HUMAN,1999,0.89
NUP62_HUMAN,23636,XPO1_HUMAN,7514,0.88
GBLP_HUMAN,10399,KPCE_HUMAN,5581,0.89
PMS1_HUMAN,5378,MLH1_HUMAN,4292,0.9
FBW1A_HUMAN,8945,APC_HUMAN,324,0.88
VANG1_HUMAN,81839,DVL3_HUMAN,1857,0.9
TAB1_HUMAN,10454,TRAF6_HUMAN,7189,0.88
TRI18_HUMAN,4281,UB2D1_HUMAN,7321,0.86
IF4A2_HUMAN,1974,EIF3H_HUMAN,8667,0.88
SMAG1_HUMAN,23034,1433G_HUMAN,7532,0.88
EPAS1_HUMAN,2034,VHL_HUMAN,7428,0.96
ITB2_HUMAN,3689,CYH1_HUMAN,9267,0.89
APC1_HUMAN,64682,CDC16_HUMAN,8881,0.88
NTRK1_HUMAN,4914,ABL1_HUMAN,25,0.89
FRIH_HUMAN,2495,DAXX_HUMAN,1616,0.87
BTG1_HUMAN,694,CNOT8_HUMAN,9337,0.89
APC16_HUMAN,119504,CDC23_HUMAN,8697,0.89
TXNIP_HUMAN,10628,HDAC1_HUMAN,3065,0.88
BMPR2_HUMAN,659,BMP7_HUMAN,655,0.88
1433G_HUMAN,7532,SRS10_HUMAN,10772,0.86
SRC_HUMAN,6714,EP300_HUMAN,2033,0.87
TNNC1_HUMAN,7134,TNNT2_HUMAN,7139,0.88
EXOC2_HUMAN,55770,EXOC5_HUMAN,10640,0.89
NQO1_HUMAN,1728,NQO1_HUMAN,1728,0.89
DKC1_HUMAN,1736,NHP2_HUMAN,55651,0.89
PAXI_HUMAN,5829,SRC_HUMAN,6714,0.95
GSK3B_HUMAN,2932,TAU_HUMAN,4137,0.89
H2AX_HUMAN,3014,H4_HUMAN,8362,0.94
OCRL_HUMAN,4952,AP2B1_HUMAN,163,0.86
UBQL4_HUMAN,56893,GRP78_HUMAN,3309,0.86
LRRK2_HUMAN,120892,LRRK2_HUMAN,120892,0.9
P53_HUMAN,7157,ARI2_HUMAN,10425,0.88
KTN1_HUMAN,3895,EF1D_HUMAN,1936,0.89
BMI1_HUMAN,648,UBP7_HUMAN,7874,0.88
DCAF8_HUMAN,50717,DDB1_HUMAN,100290337,0.88
RB6I2_HUMAN,23085,1433G_HUMAN,7532,0.88
FBLN1_HUMAN,2192,NID1_HUMAN,4811,0.86
K1C18_HUMAN,3875,1433T_HUMAN,10971,0.87
H31_HUMAN,8353,CBX3_HUMAN,11335,0.96
BAP1_HUMAN,8314,HCFC1_HUMAN,3054,0.9
RBP2_HUMAN,5903,SUMO1_HUMAN,7341,0.89
COHA1_HUMAN,1308,ACTN1_HUMAN,87,0.86
